To edit the NCR type Classification objects,To edit the NCR type Classification objects,ncrtype,,edit,PQ,,
To delete the NCR type Classification objects,To delete the NCR type Classification objects,ncrtype,,delete,PQ,,
All QCR types Classification,All QCR types Classification,qcrtype,,all,PQ,,
To view the QCR type Classification objects,To view the QCR type Classification objects,qcrtype,,view,PQ,,
To create the QCR type Classification objects,To create the QCR type Classification objects,qcrtype,,create,PQ,,
To edit the QCR type Classification objects,To edit the QCR type Classification objects,qcrtype,,edit,PQ,,
To delete the QCR type Classification objects,To delete the QCR type Classification objects,qcrtype,,delete,PQ,,
All Requirement types Classification,All Requirement types Classification,requirementtype,,all,PE,,
To view the Requirement type Classification objects,To view the Requirement type Classification objects,requirementtype,,view,PE,,
To create the Requirement type Classification objects,To create the Requirement type Classification objects,requirementtype,,create,PE,,
To edit the Requirement type Classification objects,To edit the Requirement type Classification objects,requirementtype,,edit,PE,,
To delete the Requirement type Classification objects,To delete the Requirement type Classification objects,requirementtype,,delete,PE,,
All Requirement Document types Classification,All Requirement Document types Classification,requirementdocumenttype,,all,PE,,
To view the Requirement Document type Classification objects,To view the Requirement Document type Classification objects,requirementdocumenttype,,view,PE,,
